地址,經度,緯度
         台北市松山區南京東路5段123巷8弄1~30號,121.5679293,25.06295685
          台北市松山區八德路3段12巷52弄1~30號,121.5679293,25.06295685
          台北市中山區中山北路2段65巷2弄1~30號,121.5484835,25.07311455
              台北市中山區農安街125巷1~30號,121.5484835,25.07311455
        台北市大安區民炤里新生南路1段137巷1~30號,121.553725,25.0301506
              台北市中正區黎明里懷寧街61~90號,121.5302879,25.03549869
              台北市中山區民權東路1段31~60號,121.5484835,25.07311455
        台北市士林區福林里中山北路5段460巷1~30號,121.5612886,25.1289048
                 台北市中山區長春路61~90號,121.5484835,25.07311455
             台北市文山區試院里和興路91~120號,121.5842638,24.99182226
             台北市萬華區桂林路242巷31~60號,121.5737379,25.04079745
            台北市信義區三張里莊敬路391~420號,121.5737379,25.04079745
              台北市中山區新生北路3段31~60號,121.5484835,25.07311455
       台北市中正區板溪里羅斯福路3段84巷1弄1~30號,121.5302879,25.03549869
          台北市文山區萬芳里011鄰萬安街61~90號,121.5842638,24.99182226
             台北市信義區永吉路120巷31~60號,121.5737379,25.04079745
           台北市中山區建國北路2段116巷1~30號,121.5484835,25.07311455
              台北市萬華區西藏路199巷1~30號,121.5737379,25.04079745
           台北市文山區景東里景華街104巷1~30號,121.5842638,24.99182226
        台北市文山區景東里景興路153巷14弄1~30號,121.5842638,24.99182226
         台北市文山區萬隆里羅斯福路5段241~270號,121.5842638,24.99182226
          台北市中山區長安東路1段52巷9弄1~30號,121.5484835,25.07311455
        台北市中正區頂東里羅斯福路2段174巷1~30號,121.5302879,25.03549869
          台北市松山區光復北路120巷121~150號,121.5679293,25.06295685
               台北市信義區富陽街44巷1~30號,121.5737379,25.04079745
             台北市士林區溪山里至善路3段1~30號,121.5612886,25.1289048
     台北市北投區八仙里承德路7段401巷331弄1~30號,121.5282024,25.15136446
            台北市士林區臨溪里故宮路41巷1~30號,121.5612886,25.1289048
          台北市士林區臨溪里5鄰故宮路41巷1~30號,121.5612886,25.1289048
             台北市大安區大安路1段16巷1~30號,121.553725,25.0301506
               台北市中山區新生北路3段1~30號,121.5484835,25.07311455
            台北市中正區光復里重慶南路1段1~30號,121.5302879,25.03549869
               台北市中山區明水路601~630號,121.5484835,25.07311455
         台北市中山區中山北路2段128巷6弄1~30號,121.5484835,25.07311455
              台北市中山區林森北路391~420號,121.5484835,25.07311455
              台北市士林區陽明里華岡路31~60號,121.5612886,25.1289048
       台北市南港區玉成里南港路3段130巷3弄1~30號,121.6199637,25.03896698
        台北市內湖區東湖路113巷95弄121~150號,121.5737379,25.04079745
                     台北市信義區六張捷運站,121.5737379,25.04079745
               台北市北投區湖山里建國街1~30號,121.5282024,25.15136446
            台北市中山區民生東路2段121~150號,121.5484835,25.07311455
              台北市北投區林泉里新民路61~90號,121.5282024,25.15136446
               台北市中山區農安街28之1~30號,121.5484835,25.07311455
             台北市中正區羅斯福路3段91~120號,121.5302879,25.03549869
              台北市中山區林森北路451~480號,121.5484835,25.07311455
            台北市士林區菁山里菁山路99巷1~30號,121.5612886,25.1289048
             台北市中山區民族東路512巷1~30號,121.5484835,25.07311455
           台北市內湖區康樂街201巷23弄1~30號,121.5737379,25.04079745
             台北市信義區永吉里松山路91~120號,126.5044157,43.67872068
            台北市萬華區西園路1段256巷1~30號,121.5737379,25.04079745
            台北市北投區八仙里大度路151~180號,121.5282024,25.15136446
         台北市士林區福安里延平北路7段63巷1~30號,121.5612886,25.1289048
            台北市萬華區西園路1段256巷1~30號,121.5737379,25.04079745
          台北市文山區樟文里辛亥路7段69巷1~30號,121.5842638,24.99182226
               台北市萬華區莒光路181~210號,121.5737379,25.04079745
          台北市文山區萬芳里萬美街1段19巷1~30號,121.5842638,24.99182226
              台北市中山區新生北路3段61~90號,121.5484835,25.07311455
            台北市中山區民族東路512巷10﹑12號,121.5484835,25.07311455
         台北市中正區東門里杭州南路1段18巷1~30號,121.5302879,25.03549869
               台北市中山區雙城街19巷1~30號,121.5484835,25.07311455
          台北市中山區民權東路2段92巷1弄1~30號,121.5484835,25.07311455
         台北市萬華區環河南路2段35巷15弄1~30號,121.5737379,25.04079745
               台北市萬華區昆明街211~240號,121.5737379,25.04079745
              台北市萬華區雙園街60巷31~60號,121.5737379,25.04079745
       台北市信義區正和里光復南路417巷211~240號,121.5737379,25.04079745
             台北市中山區南京東路2段91~120號,121.5484835,25.07311455
          台北市大安區光信里光復南路456巷1~30號,121.553725,25.0301506
              台北市中山區民生東路1段61~90號,121.5484835,25.07311455
         台北市北投區一德里中央北路4段151~180號,121.5282024,25.15136446
              台北市松山區光復北路181~210號,121.5679293,25.06295685
             台北市萬華區西園路1段151~180號,121.5737379,25.04079745
            台北市北投區林泉里溫泉路121~150號,121.5282024,25.15136446
          台北市北投區清江里中央南路2段91~120號,121.5282024,25.15136446
        台北市士林區百齡里11鄰前港街110巷1~30號,121.5612886,25.1289048
                 台北市萬華區雅江街61~90號,121.5737379,25.04079745
        台北市松山區南京東路5段251巷24弄1~30號,121.5679293,25.06295685
          台北市信義區三犁里信義路5段121~150號,121.5737379,25.04079745
        台北市大同區保安里哈密街59巷31弄31~60號,121.5236461,25.06707618
            台北市萬華區中華路2段504巷1~30號,121.5737379,25.04079745
          台北市松山區南京東路5段23巷7弄1~30號,121.5679293,25.06295685
          台北市內湖區成功路4段323巷9弄1~30號,121.5737379,25.04079745
            台北市松山區南京東路5段66巷1~30號,121.5679293,25.06295685
              台北市信義區中興里嘉興街31~60號,121.5737379,25.04079745
                台北市松山區健康路8巷1~30號,121.5679293,25.06295685
                  台北市松山區寶清街1~30號,121.5679293,25.06295685
              台北市士林區陽明里華岡路31~60號,121.5612886,25.1289048
              台北市松山區民權東路5段31~60號,121.5679293,25.06295685
                  台北市大同區華亭街1~30號,121.5236461,25.06707618
            台北市萬華區大理街170巷1弄1~30號,121.5737379,25.04079745
                台北市中山區民權西路61~90號,121.5484835,25.07311455
        台北市松山區南京東路5段251巷24弄1~30號,121.5679293,25.06295685
           台北市松山區健康路325巷18弄1~30號,121.5679293,25.06295685
            台北市中正區廈安里大埔街21巷1~30號,121.5302879,25.03549869
           台北市松山區南京東路5段281巷1~30號,121.5679293,25.06295685
