編號,案類,發生(現)日期,發生時段,發生(現)地點
211,住宅竊盜,1040401,12~14,台北市士林區新安里新安路241~270號
212,住宅竊盜,1040401,12~14,台北市士林區天壽里5鄰天母西路22巷1~30號
213,住宅竊盜,1040403,10~12,台北縣汐止市茄苳路250巷1~30號
214,住宅竊盜,1040404,12~14,台北市文山區木新里指南路1段31~60號
215,住宅竊盜,1040404,20~22,台北市松山區饒河街61~90號
216,住宅竊盜,1040405,10~12,台北縣深坑鄉北深路3段241~270號
217,住宅竊盜,1040405,12~14,台北市文山區指南里指南路3段22巷1~30號
218,住宅竊盜,1040405,20~22,台北市松山區光復北路31~60號
219,住宅竊盜,1040405,22~24,台北市內湖區港富里麗山街328巷1~30號
220,住宅竊盜,1040405,22~24,台北市大同區南芳里延平北路2段241~270號
221,住宅竊盜,1040407,02~04,台北市萬華區雅江街31~60號
222,住宅竊盜,1040407,10~12,台北市中山區大直街84巷1~30號
223,住宅竊盜,1040407,10~12,台北市內湖區紫陽里文德路22巷59弄1~30號
224,住宅竊盜,1040408,08~10,台北縣永和市中正路
225,住宅竊盜,1040408,12~14,台北市中正區螢雪里重慶南路3段74巷1~30號
226,住宅竊盜,1040408,14~16,桃園縣桃園市興二街92巷1~30號
227,住宅竊盜,1040409,10~12,台北市中山區農安街1~30號
228,住宅竊盜,1040410,06~08,台北市北投區吉利里23鄰吉利街320巷1弄1~30號
229,住宅竊盜,1040410,16~18,台北市萬華區忠德里4鄰寶興街91~120號
230,住宅竊盜,1040410,20~22,台北市松山區民生東路5段181~210號
231,住宅竊盜,1040411,10~12,台北市內湖區內湖路1段359巷1~30號
232,住宅竊盜,1040412,20~22,台北縣三重市文化北路140巷1~30號
233,住宅竊盜,1040413,10~12,台北市北投區智仁里杏林二路28巷1~30號
234,住宅竊盜,1040413,12~14,台北市萬華區貴陽街2段151~180號
235,住宅竊盜,1040413,16~18,台北市大同區永樂里甘谷街1~30號
236,住宅竊盜,1040415,00~02,台北市萬華區富民里4鄰貴陽街2段151~180號
237,住宅竊盜,1040415,08~10,台北市松山區民生東路4段55巷1~30號
238,住宅竊盜,1040415,16~18,台北市萬華區西園路2段261巷31~60號
239,住宅竊盜,1040416,06~08,台北市文山區萬和里1鄰溪州街137巷61~90號
240,住宅竊盜,1040416,06~08,台北市士林區三玉里忠誠路2段41巷1~30號
241,住宅竊盜,1040416,12~14,台北市中山區中山北路2段93巷1~30號
242,住宅竊盜,1040416,14~16,台北市內湖區康樂街61巷12弄1~30號
243,住宅竊盜,1040416,14~16,台北市北投區永欣里石牌路2段181~210號
244,住宅竊盜,1040416,20~22,台北市南港區舊莊里舊莊街1段145巷6弄1~30號
245,住宅竊盜,1040417,18~20,台北市北投區奇岩里奇岩路31~60號
246,住宅竊盜,1040417,18~20,台北市中山區建國北路3段22巷1~30號
247,住宅竊盜,1040419,14~16,台北市北投區榮華里榮華一路15巷1~30號
248,住宅竊盜,1040420,08~10,桃園縣龜山鄉大同路421~450號
249,住宅竊盜,1040420,12~14,台北市內湖區五分街61~90號
250,住宅竊盜,1040420,16~18,台北市內湖區瑞光里瑞光路235巷1~30號
251,住宅竊盜,1040420,22~24,台北市中山區遼寧街241~270號
252,住宅竊盜,1040421,18~20,台北市文山區指南里15鄰指南路3段26巷1~30號
253,住宅竊盜,1040422,18~20,台北市松山區撫遠街181~210號
254,住宅竊盜,1040422,20~22,台北市萬華區萬大路493巷12弄1~30號
255,住宅竊盜,1040423,04~06,台北市內湖區康樂街136巷15弄1~30號
256,住宅竊盜,1040423,08~10,台北市松山區南京東路5段211~240號
257,住宅竊盜,1040423,14~16,台北市內湖區樂康里康樂街136巷15弄1~30號
258,住宅竊盜,1040423,18~20,台北市士林區仁勇里16鄰大東路121~150號
259,住宅竊盜,1040423,20~22,台北市萬華區環河南路2段250巷3弄1~30號
260,住宅竊盜,1040424,10~12,台北市內湖區樂康里康樂街72巷17弄121~150號
261,住宅竊盜,1040425,00~02,台北市大同區揚雅里民族西路151~180號
262,住宅竊盜,1040425,04~06,台北市文山區興業里23鄰辛亥路5段124巷1~30號
263,住宅竊盜,1040426,04~06,台北市北投區智仁里21鄰中和街525巷10弄1~30號
264,住宅竊盜,1040427,06~08,台北市中山區大直街62巷5弄1~30號
265,住宅竊盜,1040427,08~10,台北市內湖區湖興里20鄰成功路2段250巷31~60號
266,住宅竊盜,1040427,12~14,台北市文山區興隆路2段154巷1~30號
267,住宅竊盜,1040427,14~16,台北市中山區大直街62巷5弄1~30號
268,住宅竊盜,1040427,18~20,台北市萬華區德昌街132巷1~30號
269,住宅竊盜,1040427,22~24,台北市內湖區港都里港華街85巷1~30號
270,住宅竊盜,1040428,20~22,台北市萬華區西藏路481~510號
271,住宅竊盜,1040429,12~14,台北市中山區敬業三路162巷121~150號
272,住宅竊盜,1040429,14~16,台北市中山區敬業三路162巷31~60號
273,住宅竊盜,1040430,08~10,台北市內湖區麗山街328巷1~30號
274,住宅竊盜,1040430,18~20,台北市內湖區樂康里康樂街136巷18弄31~60號
275,住宅竊盜,1040501,00~02,台北市信義區忠孝東路
276,住宅竊盜,1040501,14~16,台北市松山區民生東路5段181~210號
277,住宅竊盜,1040501,16~18,台北市中山區吉林路379巷1~30號
278,住宅竊盜,1040503,00~02,台北市中山區農安街1~30號
279,住宅竊盜,1040503,12~14,台北市松山區撫遠街391~420號
280,住宅竊盜,1040503,18~20,台北市松山區寶清街104巷31~60號
281,住宅竊盜,1040504,10~12,台北市中山區長安東路1段31~60號
282,住宅竊盜,1040504,18~20,台北市內湖區西湖里內湖路1段323巷1~30號
283,住宅竊盜,1040505,10~12,台北市南港區舊莊里舊莊街1段145巷6弄1~30號
284,住宅竊盜,1040505,18~20,台北市士林區菁山里永公路511~540號
285,住宅竊盜,1040506,00~02,台北縣中和市圓通路141巷48弄1~30號
286,住宅竊盜,1040506,00~02,台北縣中和市圓通路141巷48弄1~30號
287,住宅竊盜,1040506,20~22,台北市文山區試院里29鄰木柵路1段1~30號
288,住宅竊盜,1040507,20~22,台北市信義區大道里大道路7巷1弄1~30號
289,住宅竊盜,1040508,06~08,台北市大同區斯文里大龍街89巷1~30號
290,住宅竊盜,1040508,08~10,台北市大安區車層里忠孝東路4段216巷19弄1~30號
291,住宅竊盜,1040508,12~14,屏東縣內埔鄉里義路61~90號
292,住宅竊盜,1040508,14~16,台北市北投區大屯里復興三路521巷1~30號
293,住宅竊盜,1040509,12~14,台北市士林區聖山里20鄰忠義街46巷1~30號
294,住宅竊盜,1040510,04~06,台北市大安區虎嘯里樂業街15巷1~30號
295,住宅竊盜,1040510,12~14,台北市內湖區新明路380巷9弄1~30號
296,住宅竊盜,1040510,14~16,台北市中山區中山北路1段91~120號
297,住宅竊盜,1040510,22~24,台北縣淡水鎮新民街1~30號
298,住宅竊盜,1040511,22~24,台北市萬華區萬大路322巷55弄1~30號
299,住宅竊盜,1040512,10~12,台北市北投區開明里珠海路107巷1~30號
300,住宅竊盜,1040512,12~14,台北市中正區文祥里金山南路一段91~120號
301,住宅竊盜,1040512,20~22,台北市松山區延壽街61~90號
302,住宅竊盜,1040513,16~18,台北市松山區健康路7巷1~30號
303,住宅竊盜,1040513,20~22,台北市信義區五全里永吉路181~210號
304,住宅竊盜,1040514,06~08,六路里16鄰平等路181~210號
305,住宅竊盜,1040514,10~12,台北市內湖區康寧路3段245巷31~60號
306,住宅竊盜,1040514,10~12,六路里過洋路133巷1~30號
307,住宅竊盜,1040514,12~14,台北市文山區樟新里木新路3段301~330號
308,住宅竊盜,1040515,06~08,台北市萬華區中華路2段481~510號
309,住宅竊盜,1040515,12~14,台北市內湖區麗山街46巷5弄1~30號
